51144,Kalimantan Selatan,Kabupaten,Tabalong,Murung Pudak,Belimbing Raya,71571,Kalimantan Selatan/Tabalong/Murung Pudak/Belimbing Raya/71571
51145,Kalimantan Selatan,Kabupaten,Tabalong,Murung Pudak,Kapar,71571,Kalimantan Selatan/Tabalong/Murung Pudak/Kapar/71571
51146,Kalimantan Selatan,Kabupaten,Tabalong,Murung Pudak,Kasiau,71571,Kalimantan Selatan/Tabalong/Murung Pudak/Kasiau/71571
51147,Kalimantan Selatan,Kabupaten,Tabalong,Murung Pudak,Kasiau Raya,71571,Kalimantan Selatan/Tabalong/Murung Pudak/Kasiau Raya/71571
51148,Kalimantan Selatan,Kabupaten,Tabalong,Murung Pudak,Maburai,71571,Kalimantan Selatan/Tabalong/Murung Pudak/Maburai/71571
51149,Kalimantan Selatan,Kabupaten,Tabalong,Murung Pudak,Mabuun,71571,Kalimantan Selatan/Tabalong/Murung Pudak/Mabuun/71571
51150,Kalimantan Selatan,Kabupaten,Tabalong,Murung Pudak,Masukau,71571,Kalimantan Selatan/Tabalong/Murung Pudak/Masukau/71571
51151,Kalimantan Selatan,Kabupaten,Tabalong,Murung Pudak,Pembataan,71571,Kalimantan Selatan/Tabalong/Murung Pudak/Pembataan/71571
51152,Kalimantan Selatan,Kabupaten,Tabalong,Murung Pudak,Sulingan,71571,Kalimantan Selatan/Tabalong/Murung Pudak/Sulingan/71571
51153,Kalimantan Selatan,Kabupaten,Tabalong,Bintang Ara,Argo Mulyo,71572,Kalimantan Selatan/Tabalong/Bintang Ara/Argo Mulyo/71572
51154,Kalimantan Selatan,Kabupaten,Tabalong,Bintang Ara,Bintang Ara,71572,Kalimantan Selatan/Tabalong/Bintang Ara/Bintang Ara/71572
51155,Kalimantan Selatan,Kabupaten,Tabalong,Bintang Ara,Bumi Makmur,71572,Kalimantan Selatan/Tabalong/Bintang Ara/Bumi Makmur/71572
51156,Kalimantan Selatan,Kabupaten,Tabalong,Bintang Ara,Burum,71572,Kalimantan Selatan/Tabalong/Bintang Ara/Burum/71572
51157,Kalimantan Selatan,Kabupaten,Tabalong,Bintang Ara,Dambung (Raya),71572,Kalimantan Selatan/Tabalong/Bintang Ara/Dambung (Raya)/71572
51158,Kalimantan Selatan,Kabupaten,Tabalong,Bintang Ara,Hegar Manah,71572,Kalimantan Selatan/Tabalong/Bintang Ara/Hegar Manah/71572
51159,Kalimantan Selatan,Kabupaten,Tabalong,Bintang Ara,Panaan,71572,Kalimantan Selatan/Tabalong/Bintang Ara/Panaan/71572
51160,Kalimantan Selatan,Kabupaten,Tabalong,Bintang Ara,Usih,71572,Kalimantan Selatan/Tabalong/Bintang Ara/Usih/71572
51161,Kalimantan Selatan,Kabupaten,Tabalong,Bintang Ara,Waling,71572,Kalimantan Selatan/Tabalong/Bintang Ara/Waling/71572
51162,Kalimantan Selatan,Kabupaten,Tabalong,Haruai,Bongkang,71572,Kalimantan Selatan/Tabalong/Haruai/Bongkang/71572
51163,Kalimantan Selatan,Kabupaten,Tabalong,Haruai,Catur Karya,71572,Kalimantan Selatan/Tabalong/Haruai/Catur Karya/71572
51164,Kalimantan Selatan,Kabupaten,Tabalong,Haruai,Halong,71572,Kalimantan Selatan/Tabalong/Haruai/Halong/71572
51165,Kalimantan Selatan,Kabupaten,Tabalong,Haruai,Hayup,71572,Kalimantan Selatan/Tabalong/Haruai/Hayup/71572
51166,Kalimantan Selatan,Kabupaten,Tabalong,Haruai,Kembangkuning,71572,Kalimantan Selatan/Tabalong/Haruai/Kembangkuning/71572
51167,Kalimantan Selatan,Kabupaten,Tabalong,Haruai,Lok Batu,71572,Kalimantan Selatan/Tabalong/Haruai/Lok Batu/71572
51168,Kalimantan Selatan,Kabupaten,Tabalong,Haruai,Mahe Pasar,71572,Kalimantan Selatan/Tabalong/Haruai/Mahe Pasar/71572
51169,Kalimantan Selatan,Kabupaten,Tabalong,Haruai,Marindi,71572,Kalimantan Selatan/Tabalong/Haruai/Marindi/71572
51170,Kalimantan Selatan,Kabupaten,Tabalong,Haruai,Nawin,71572,Kalimantan Selatan/Tabalong/Haruai/Nawin/71572
51171,Kalimantan Selatan,Kabupaten,Tabalong,Haruai,Seradang,71572,Kalimantan Selatan/Tabalong/Haruai/Seradang/71572
51172,Kalimantan Selatan,Kabupaten,Tabalong,Haruai,Suput,71572,Kalimantan Selatan/Tabalong/Haruai/Suput/71572
51173,Kalimantan Selatan,Kabupaten,Tabalong,Haruai,Suriyan,71572,Kalimantan Selatan/Tabalong/Haruai/Suriyan/71572
51174,Kalimantan Selatan,Kabupaten,Tabalong,Haruai,Wirang,71572,Kalimantan Selatan/Tabalong/Haruai/Wirang/71572
51175,Kalimantan Selatan,Kabupaten,Tabalong,Muara Uya,Binjai,71573,Kalimantan Selatan/Tabalong/Muara Uya/Binjai/71573
51176,Kalimantan Selatan,Kabupaten,Tabalong,Muara Uya,Kampung Baru,71573,Kalimantan Selatan/Tabalong/Muara Uya/Kampung Baru/71573
51177,Kalimantan Selatan,Kabupaten,Tabalong,Muara Uya,Kupang Nunding,71573,Kalimantan Selatan/Tabalong/Muara Uya/Kupang Nunding/71573
51178,Kalimantan Selatan,Kabupaten,Tabalong,Muara Uya,Lumbang,71573,Kalimantan Selatan/Tabalong/Muara Uya/Lumbang/71573
51179,Kalimantan Selatan,Kabupaten,Tabalong,Muara Uya,Mangkupum,71573,Kalimantan Selatan/Tabalong/Muara Uya/Mangkupum/71573
51180,Kalimantan Selatan,Kabupaten,Tabalong,Muara Uya,Muara Uya,71573,Kalimantan Selatan/Tabalong/Muara Uya/Muara Uya/71573
51181,Kalimantan Selatan,Kabupaten,Tabalong,Muara Uya,Pasar Batu,71573,Kalimantan Selatan/Tabalong/Muara Uya/Pasar Batu/71573
51182,Kalimantan Selatan,Kabupaten,Tabalong,Muara Uya,Pelapi,71573,Kalimantan Selatan/Tabalong/Muara Uya/Pelapi/71573
51183,Kalimantan Selatan,Kabupaten,Tabalong,Muara Uya,Ribang,71573,Kalimantan Selatan/Tabalong/Muara Uya/Ribang/71573
51184,Kalimantan Selatan,Kabupaten,Tabalong,Muara Uya,Salikung,71573,Kalimantan Selatan/Tabalong/Muara Uya/Salikung/71573
51185,Kalimantan Selatan,Kabupaten,Tabalong,Muara Uya,Santuun,71573,Kalimantan Selatan/Tabalong/Muara Uya/Santuun/71573


57785

58006,Nusa Tenggara Timur,Kabupaten,Kupang,Amabi Oefeto,Kairane,85362,Nusa Tenggara Timur/Kupang/Amabi Oefeto/Kairane/85362
58007,Nusa Tenggara Timur,Kabupaten,Kupang,Amabi Oefeto,Kuanheum,85362,Nusa Tenggara Timur/Kupang/Amabi Oefeto/Kuanheum/85362
58008,Nusa Tenggara Timur,Kabupaten,Kupang,Amabi Oefeto,Raknamo,85362,Nusa Tenggara Timur/Kupang/Amabi Oefeto/Raknamo/85362
58009,Nusa Tenggara Timur,Kabupaten,Kupang,Kupang Timur,Babau,85362,Nusa Tenggara Timur/Kupang/Kupang Timur/Babau/85362
